category,level,items
사업 기획·제안,5,RFP 분석 및 비즈니스 모델 설계 | 제안서 작성·발표(PT)·기술협상 | 비목별 예산 산출 및 사업 모델링 | 평가위원 평가 기준 매칭
컨소시엄 거버넌스,5,다자 컨소시엄 R&R 설계 (최대 6자) | 협력기관 간 지분 조정 및 거버넌스 초안 | MOU 체결 및 산학 파트너십 구축 | 정기 협의회 운영 및 정책 방향 조정
교원연수·교육 운영,5,원격연수·집합연수 통합 운영 | 강사 섭외 및 네트워크 관리 | LMS·온라인 플랫폼 운영 | 현장 컨설팅 및 거점형 연수 설계
AI·디지털교과서,4,AIDT 자체기술검증 결과서 작성 | 정보교과 9종 검정 통과 실무 | 디지털몰·S2B 계약·KERIS 연동 | 프로토타입 실습 콘텐츠 개발
성과 관리·환류,5,사전·사후 진단평가 및 만족도 조사 | FGI 분석 및 결과보고서 작성 | 다음 사업으로의 환류 사이클 운영 | 장기 만족도 추적(2024 → 2025: 4.4 → 4.67)
콘텐츠·커리큘럼 개발,4,"AI 리터러시 커리큘럼 (KPF, 2회 연속) | 민간등록자격 15차시 커리큘럼 신설 | Gen AI 기반 콘텐츠 활용 | 국제표준 부합 미디어·AI 리터러시"
